customer_id,first_name,last_name,gender,email,phone,country,order_id
1,Jason,Thompson,Male,jh60@rocketmail.com,212-160-0606,Portugal,462
2,Kimberly,Williams,Female,kimberlymariewilliams@ymail.com,435-906-4550,France,266
3,Jonathan,Mitchell,Male,jonathan_matthew44@ymail.com,351-541-5867,Russia,27
4,Amelia,Hall,Female,amelia_j_hall@yahoo.com,737-507-1514,Russia,77
5,Melissa,Simmons,Female,melissasimmons@yahoo.com,602-090-1095,United States,827
6,Alexandra,Wilson,Female,a.j.wilson@yahoo.com,952-070-5087,Czech Republic,745
7,Kelsey,Alexander,Female,kelsey.michelle.alexander@aol.com,302-699-3180,Indonesia,774
8,Jennifer,Cook,Female,jcook41@gmail.com,210-418-7770,China,273
9,Mark,Butler,Male,markbutler@outlook.com,217-069-3955,Nigeria,138
10,Courtney,Allen,Female,c_m_allen@live.com,573-619-0765,Poland,427
11,Jason,Smith,Male,jason_smith@aol.com,731-461-3254,Saudi Arabia,453
12,Kevin,Torres,Male,ketorres@yahoo.com,419-819-2582,Indonesia,927
13,Alexis,Thompson,Female,alexis_m_thompson@outlook.com,718-602-6387,Colombia,15
14,Ashley,Hughes,Female,ashley_m_hughes@gmail.com,414-646-9175,France,23
15,Tiffany,Bennett,Female,t.bennett@outlook.com,845-535-3746,Indonesia,634
16,James,Baker,Male,j_m@ymail.com,615-070-5898,Guinea-Bissau,762
17,Rachel,Gray,Female,r_gray@hotmail.com,775-641-3157,Indonesia,593
18,Rachel,Bell,Female,rachel@aol.com,843-196-7722,Peru,715
19,Anthony,Murphy,Male,anthonymurphy@ymail.com,870-487-1227,Kosovo,230
20,Michelle,Henderson,Female,michelle_irene@gmail.com,847-593-1727,Philippines,553
21,Jeremy,Turner,Male,jrturner@aol.com,870-670-2495,China,658
22,Ryan,Moore,Male,rjmoore@rocketmail.com,847-075-4763,Mexico,516
23,Henry,Bennett,Male,henry.bennett@aol.com,716-286-4998,Morocco,785
24,Kyle,Hernandez,Male,k_a_hernandez@outlook.com,260-811-4893,China,951
25,Amanda,Hernandez,Female,arhernandez@hotmail.com,985-664-4570,China,974
26,Layla,Powell,Female,laylakpowell45@rocketmail.com,951-484-9265,Philippines,124
27,Grace,Coleman,Female,g.j.coleman@ymail.com,309-443-7078,China,262
28,Isaac,Morris,Male,i.g.morris@live.com,262-341-7759,Japan,548
29,Alyssa,Bennett,Female,a.a@gmail.com,828-507-9239,Ukraine,608
30,Alexis,Davis,Female,alexisdavis@live.com,512-921-5845,Estonia,403
31,Emily,Lopez,Female,e_lopez@outlook.com,762-179-8520,China,512
32,Jennifer,Baker,Female,jbaker@yahoo.com,657-095-8095,Russia,782
33,Sebastian,Green,Male,sebastianwaynegreen57@yahoo.com,509-308-0191,Philippines,286
34,Michael,Campbell,Male,michael.campbell@yahoo.com,440-839-1578,United States,540
35,Julian,Martinez,Male,j_r_martinez@yahoo.com,253-474-0686,United States,573
36,Brian,Nelson,Male,brian_nelson@gmail.com,608-936-8731,Belarus,652
37,Victoria,Lewis,Female,v.lewis74@yahoo.com,504-974-3402,Russia,206
38,Alexander,Collins,Male,a.collins71@ymail.com,978-509-3443,France,772
39,Sophia,Davis,Female,s.davis@ymail.com,605-064-0543,Indonesia,978
40,Alexis,Rogers,Female,alexis_j_rogers@yahoo.com,740-333-4934,Czech Republic,791
41,Nathan,Hernandez,Male,nathanahernandez22@yahoo.com,725-943-5618,Brazil,53
42,Alexandra,Wood,Female,alexandra_m_wood67@hotmail.com,424-211-1629,Indonesia,853
43,Samantha,Diaz,Female,ssdiaz@hotmail.com,781-267-8364,Ivory Coast,61
44,Jeremy,Young,Male,jeremycharlesyoung@rocketmail.com,612-660-1318,Greece,777
45,Charlotte,Brooks,Female,charlottebrooks@hotmail.com,563-701-4889,China,388
46,Christina,Lewis,Female,clewis2@outlook.com,828-013-6639,Pakistan,151
47,Jose,Anderson,Male,j_anderson@ymail.com,405-023-7652,Kazakhstan,222
48,Isaac,Peterson,Male,i.j.peterson@aol.com,267-375-6086,Guatemala,355
49,Layla,Reed,Female,ln@gmail.com,614-417-4772,Thailand,502
50,Nathan,Collins,Male,nathan_m_collins@live.com,936-977-9989,Russia,241
51,Heather,Wilson,Female,heather.marie.wilson@ymail.com,575-244-9919,Palestinian Territory,472
52,Erin,Williams,Female,e.l.williams35@yahoo.com,330-088-2382,China,896
53,Aubrey,Garcia,Female,a_garcia@yahoo.com,540-136-6958,Kazakhstan,888
54,Joseph,Turner,Male,josephturner62@gmail.com,626-104-1645,China,752
55,Isaac,Henderson,Male,isaachenderson@rocketmail.com,857-192-6124,Thailand,855
56,Jack,Hayes,Male,jhayes@live.com,518-046-3187,Indonesia,650
57,Nathan,Walker,Male,nathanleewalker10@live.com,513-660-2235,Tunisia,478
58,Sophia,Washington,Female,s.washington@gmail.com,912-488-6915,Cameroon,783
59,Melissa,Hughes,Female,melissa.irene.hughes@gmail.com,540-550-4467,Zimbabwe,971
60,Nicole,Carter,Female,n.m.carter@ymail.com,410-351-1320,Paraguay,577
61,Henry,Peterson,Male,henryd@live.com,206-595-4323,Slovakia,432
62,Jonathan,Butler,Male,jonathan.butler@outlook.com,630-157-7089,China,71
63,Nicole,Brown,Female,n.f.brown@hotmail.com,772-418-2788,Cuba,561
64,Thomas,Hughes,Male,thomasj@gmail.com,515-124-1246,Vietnam,747
65,James,Washington,Male,j_washington8@hotmail.com,731-455-7106,Indonesia,417
66,Brianna,Price,Female,brianna_faith_price@ymail.com,920-251-2646,China,153
67,Owen,Carter,Male,owencarter@aol.com,220-360-8280,Indonesia,5
68,Benjamin,Ramirez,Male,benjamin.ramirez@outlook.com,272-203-1991,China,6
69,Dylan,Long,Male,dylanlong54@yahoo.com,774-206-6770,Kenya,949
70,Audrey,Roberts,Female,amroberts91@hotmail.com,657-135-7503,Colombia,940
71,Alexander,Griffin,Male,alexanderegriffin@live.com,714-688-1068,Brazil,852
72,Thomas,Thomas,Male,td@yahoo.com,423-711-9454,Afghanistan,911
73,Jessica,Bennett,Female,j_bennett@aol.com,929-552-3854,China,615
74,Elizabeth,Rodriguez,Female,e_rodriguez@ymail.com,309-753-7903,South Korea,406
75,Thomas,Jones,Male,t.c.jones@aol.com,818-134-8680,Nigeria,602
76,Eric,Foster,Male,eric_r_foster@live.com,713-168-6253,Brazil,396
77,Megan,Moore,Female,megan.may.moore11@live.com,316-356-1813,Hungary,983
78,Lillian,Clark,Female,l_r_clark@live.com,464-204-9036,Czech Republic,641
79,Nathan,Hill,Male,n_f_hill@aol.com,314-760-4574,Portugal,948
80,Christina,Green,Female,christina.green@rocketmail.com,906-839-8075,Indonesia,239
81,Danielle,Parker,Female,d_f_parker@live.com,561-037-9722,Denmark,406
82,Christopher,Cook,Male,christopher_cook@outlook.com,845-259-0442,Indonesia,151
83,Alexandra,Bryant,Female,a_bryant@rocketmail.com,302-247-3931,Brazil,293
84,Brittany,Richardson,Female,brittany_faith_richardson56@live.com,585-415-3032,China,365
85,Ryan,Rodriguez,Male,ryan.rodriguez@gmail.com,952-076-4701,Indonesia,589
86,James,Jenkins,Male,jejenkins82@outlook.com,848-641-7948,Poland,829
87,Lillian,Simmons,Female,l.simmons@gmail.com,504-903-9007,Philippines,550
88,Maria,Williams,Female,m_l_williams1@yahoo.com,434-973-7097,China,881
89,Alyssa,Gray,Female,a.e.gray@ymail.com,559-459-6626,Syria,149
90,Matthew,Bennett,Male,m.f.bennett@hotmail.com,954-646-4040,China,595
91,Ryan,Bennett,Male,ryan45@hotmail.com,325-874-1957,Greece,466
92,Courtney,Patterson,Female,courtneymarypatterson@aol.com,515-522-8106,Tanzania,523
93,Patrick,Watson,Male,p_c_watson@outlook.com,984-770-7441,China,17
94,Maria,Nelson,Female,m_l@rocketmail.com,959-955-8797,United States,909
95,Joshua,Lopez,Male,j.r.lopez@outlook.com,856-250-4306,Indonesia,900
96,Heather,Flores,Female,h_flores@hotmail.com,689-070-8660,China,979
97,Anna,Wood,Female,annalwood@live.com,215-670-1611,Russia,15
98,Victoria,Clark,Female,v.a@aol.com,813-824-0263,Mauritania,917
99,Benjamin,Robinson,Male,b_j4@hotmail.com,507-633-8645,China,402
100,Kevin,Sanchez,Male,ksanchez@aol.com,971-106-4739,Indonesia,569
101,Haley,Barnes,Female,haley.margaret.barnes@yahoo.com,957-774-2154,China,162
102,Julian,Williams,Male,julianwilliams@gmail.com,770-601-5922,Brazil,773
103,Hannah,Phillips,Female,hannah.mary.phillips@yahoo.com,419-460-9091,Netherlands,187
104,Timothy,Morgan,Male,timothy_morgan@ymail.com,409-288-6898,Sweden,438
105,Dylan,Rodriguez,Male,drodriguez@live.com,201-442-7966,Indonesia,694
106,Danielle,Hall,Female,dhall@hotmail.com,906-423-0335,Guatemala,258
107,Erin,Peterson,Female,e.m78@yahoo.com,347-725-4773,Central African Republic,845
108,Robert,Robinson,Male,robert_f@aol.com,336-163-5425,United Kingdom,54
109,Charles,Allen,Male,charles@hotmail.com,830-296-9111,Palestinian Territory,109
110,Emily,Flores,Female,e.flores31@yahoo.com,412-581-7028,Poland,966
111,Erin,Morgan,Female,erin.morgan@ymail.com,309-822-2372,Indonesia,351
112,Natalie,Hall,Female,natalierhall@aol.com,504-205-7440,Malaysia,609
113,Eleanor,Coleman,Female,elcoleman@yahoo.com,949-426-0598,China,635
114,Mary,Thomas,Female,maryrthomas@hotmail.com,404-481-3178,China,320
115,Anna,Martin,Female,anna_martin@aol.com,772-519-2310,Indonesia,8
116,Kaitlyn,Stewart,Female,kaitlyn.m.stewart@live.com,218-505-6128,China,145
117,Abigail,Lewis,Female,abigail_f_lewis60@gmail.com,818-968-3156,Japan,707
118,Melissa,Brooks,Female,m.r.brooks@outlook.com,814-238-9168,Nauru,79
119,Owen,Johnson,Male,owen.johnson@aol.com,430-276-9808,China,564
120,Timothy,Morgan,Male,t.morgan@live.com,480-288-1057,China,103
121,Amanda,Jenkins,Female,a.a.jenkins@live.com,770-972-8968,Indonesia,695
122,Olivia,Robinson,Female,o_robinson@outlook.com,510-816-6395,United States,34
123,Justin,Moore,Male,jrmoore41@yahoo.com,419-281-8385,Luxembourg,909
124,Mateo,Reed,Male,m_reed31@yahoo.com,540-686-1617,Russia,650
125,Grace,Phillips,Female,gracel37@gmail.com,575-524-5777,China,121
126,Aubrey,Bryant,Female,aubrey.jean.bryant@rocketmail.com,689-812-1575,Libya,539
127,Andrew,Rivera,Male,andrew.alan.rivera@ymail.com,619-038-0790,China,274
128,Samuel,Martin,Male,samuel_t_martin@gmail.com,510-359-9728,France,162
129,Austin,Anderson,Male,afanderson@live.com,952-643-6662,Costa Rica,42
130,Jose,Cox,Male,jose.w.cox@hotmail.com,458-028-9358,Poland,774
131,Natalie,Nelson,Female,natalie.michelle88@ymail.com,615-746-1718,Indonesia,974
132,Jason,Lopez,Male,jason@rocketmail.com,469-355-8181,France,25
133,Benjamin,Coleman,Male,benjamincoleman@live.com,985-816-4669,Indonesia,126
134,Gabriel,Howard,Male,g_s@outlook.com,956-338-2899,Albania,989
135,Christopher,Powell,Male,christopherpowell54@aol.com,430-574-4209,Chad,210
136,Brian,Bryant,Male,brianbryant@rocketmail.com,901-018-9692,Thailand,565
137,Nicole,Foster,Female,n_foster@rocketmail.com,567-836-7205,Peru,570
138,Jose,Hill,Male,josehill@yahoo.com,484-605-5968,Indonesia,538
139,Charlotte,Washington,Female,c.washington55@aol.com,831-448-6899,China,922
140,Kayla,Henderson,Female,kayla@ymail.com,210-781-0978,China,624
141,Maria,Perez,Female,maria.perez@aol.com,716-107-7789,Serbia,461
142,Mark,Moore,Male,m_moore@yahoo.com,617-056-8208,Argentina,320
143,Taylor,Moore,Female,taylor_d_moore32@aol.com,816-688-6038,Russia,603
144,Haley,Davis,Female,haleymariedavis@yahoo.com,743-195-6391,Nicaragua,566
145,Austin,Green,Male,a.c29@yahoo.com,713-504-9709,Finland,887
146,David,Peterson,Male,d_peterson@aol.com,220-145-1800,Czech Republic,462
147,Danielle,Powell,Female,d_l_powell@gmail.com,864-110-0188,China,184
148,Evelyn,Adams,Female,evelyn.adams73@aol.com,847-952-1849,Poland,424
149,David,Green,Male,david.green78@hotmail.com,270-957-3260,Pakistan,366
150,Taylor,Evans,Female,t_evans@aol.com,209-886-7220,Albania,643
151,Oliver,Clark,Male,o_clark@rocketmail.com,464-206-8132,Serbia,91
152,Michelle,Murphy,Female,m_murphy@hotmail.com,975-247-1560,China,621
153,Brianna,Green,Female,b_j@live.com,253-173-3134,South Africa,263
154,Melissa,Howard,Female,m.r@yahoo.com,956-534-0769,Ukraine,40
155,Amanda,Morgan,Female,a.n.morgan@live.com,513-031-0769,China,60
156,Jeremy,Jackson,Male,jeremy.william84@gmail.com,956-711-6138,China,867
157,Isaac,Powell,Male,i.powell@outlook.com,929-061-1990,China,158
158,Sean,Williams,Male,seanwilliams@outlook.com,860-321-5031,Mexico,949
159,Jason,Green,Male,j.j.green@outlook.com,970-846-9899,Hungary,260
160,Melissa,White,Female,m.m.white@rocketmail.com,860-047-5764,China,123
161,Sebastian,Brooks,Male,s.brooks@gmail.com,843-503-2542,Brazil,788
162,Jonathan,Watson,Male,jonathanawatson@outlook.com,929-941-3006,China,804
163,Claire,James,Female,claire_r_james@ymail.com,816-334-1757,Palestinian Territory,958
164,Abigail,White,Female,a.white23@aol.com,563-030-6339,South Sudan,66
165,Jeremy,Miller,Male,jeremy.charles@ymail.com,336-593-5156,Poland,774
166,Kimberly,Green,Female,kimberly.green@outlook.com,952-804-5657,Thailand,466
167,Charlotte,Garcia,Female,charlotte.m@live.com,260-383-5018,China,547
168,Sofia,Ramirez,Female,sofia_m_ramirez@outlook.com,313-222-0370,China,587
169,Allison,Kelly,Female,allison_kelly@outlook.com,361-137-8507,Indonesia,874
170,Aubrey,Hall,Female,a.r56@hotmail.com,507-195-6369,Greece,810
171,Joseph,Rodriguez,Male,joseph.eugene@outlook.com,847-471-3425,Philippines,446
172,Jasmine,Turner,Female,jasmine.turner@outlook.com,718-329-7002,Peru,213
173,Aubrey,Jones,Female,aubrey_i_jones@ymail.com,936-208-4710,Portugal,664
174,Charles,Hall,Male,chall@yahoo.com,857-157-4114,China,426
175,Jason,Simmons,Male,jason_simmons@rocketmail.com,571-696-9513,Indonesia,78
176,Owen,Wood,Male,owenwood@gmail.com,814-208-0442,Japan,886
177,Ryan,Turner,Male,ryan.g.turner@outlook.com,480-976-3702,Japan,364
178,Julian,Barnes,Male,jsbarnes@aol.com,941-967-3557,China,135
179,Emma,Reed,Female,ereed@ymail.com,669-725-8285,Indonesia,286
180,Benjamin,Moore,Male,bmoore@hotmail.com,773-229-0418,Sweden,152
181,Gabriel,Powell,Male,gabrielpowell@gmail.com,314-095-8043,Honduras,43
182,Rebecca,Williams,Female,rebeccam@hotmail.com,719-274-0101,Japan,384
183,Michelle,Harris,Female,m.l.harris@yahoo.com,636-136-4620,Indonesia,232
184,Joseph,Sanders,Male,j_c_sanders@aol.com,832-281-2489,Indonesia,160
185,Layla,Anderson,Female,layla@gmail.com,978-625-8068,New Caledonia,464
186,Jose,Murphy,Male,josedmurphy@rocketmail.com,612-582-1789,Bulgaria,287
187,Kyle,Rivera,Male,k.e.rivera@gmail.com,551-400-0637,China,159
188,Ryan,Brooks,Male,ryan_brooks@outlook.com,517-469-2560,Ukraine,946
189,Olivia,Reed,Female,oliviareed90@hotmail.com,706-157-5050,Brazil,506
190,Joseph,Thompson,Male,josephfthompson@live.com,662-633-1244,China,992
191,Audrey,Mitchell,Female,audrey.k.mitchell@gmail.com,323-499-4043,Albania,95
192,Tyler,Bell,Male,tyler.m@hotmail.com,803-916-8438,Greece,106
193,Tyler,Bryant,Male,tdbryant@aol.com,317-367-9638,Sweden,312
194,Grace,Rodriguez,Female,g_k79@ymail.com,385-963-5336,Finland,824
195,Isabella,Lee,Female,isabellasuelee@ymail.com,540-648-9408,Indonesia,245
196,Samuel,Scott,Male,slscott@gmail.com,865-186-8407,China,898
197,Matthew,Clark,Male,matthew_lee_clark@ymail.com,650-154-3779,Indonesia,551
198,Sean,Hill,Male,sean_a_hill19@rocketmail.com,276-259-4631,China,662
199,Hannah,Morris,Female,h_morris@outlook.com,278-303-9881,Malta,15
200,Haley,Lewis,Female,hlewis@yahoo.com,323-736-5471,China,548
201,Anthony,Walker,Male,anthony.w46@aol.com,434-188-1057,China,248
202,Sebastian,Cook,Male,s.f.cook@aol.com,808-213-7463,China,777
203,Olivia,Baker,Female,o.baker68@aol.com,443-470-9598,Ukraine,994
